,year,decade,century,tried,deaths,region,country,lon,lat,source
0,1470,1470,1400,2,1,Aargau,Switzerland,,,Bader (1945)
1,1494,1490,1400,1,1,Aargau,Switzerland,,,Bader (1945)
2,1540,1540,1500,7,7,Aargau,Switzerland,,,Bader (1945)
3,1550,1550,1500,7,7,Aargau,Switzerland,,,Bader (1945)
4,1560,1560,1500,7,7,Aargau,Switzerland,,,Bader (1945)
5,1570,1570,1500,7,7,Aargau,Switzerland,,,Bader (1945)
6,1586,1580,1500,1,1,Aargau,Switzerland,,,Bader (1945)
7,1580,1580,1500,7,7,Aargau,Switzerland,,,Bader (1945)
8,1590,1590,1500,7,7,Aargau,Switzerland,,,Bader (1945)
9,1600,1600,1600,7,7,Aargau,Switzerland,,,Bader (1945)
10,1610,1610,1600,7,7,Aargau,Switzerland,,,Bader (1945)
11,1620,1620,1600,7,7,Aargau,Switzerland,,,Bader (1945)
12,1689,1680,1600,1,0,Aargau,Switzerland,,,Bader (1945)
13,1550,1550,1500,1,1,Appenzell,Switzerland,,,Bader (1945)
14,1560,1560,1500,1,1,Appenzell,Switzerland,,,Bader (1945)
15,1570,1570,1500,1,1,Appenzell,Switzerland,,,Bader (1945)
16,1580,1580,1500,1,1,Appenzell,Switzerland,,,Bader (1945)
17,1590,1590,1500,1,1,Appenzell,Switzerland,,,Bader (1945)
18,1600,1600,1600,4,4,Appenzell Ausserrhoden,Switzerland,,,Bader (1945)
19,1610,1610,1600,4,4,Appenzell Ausserrhoden,Switzerland,,,Bader (1945)
20,1620,1620,1600,4,4,Appenzell Ausserrhoden,Switzerland,,,Bader (1945)
21,1630,1630,1600,4,4,Appenzell Ausserrhoden,Switzerland,,,Bader (1945)
22,1640,1640,1600,4,4,Appenzell Ausserrhoden,Switzerland,,,Bader (1945)
23,1650,1650,1600,1,1,Appenzell Ausserrhoden,Switzerland,,,Bader (1945)
24,1660,1660,1600,1,1,Appenzell Ausserrhoden,Switzerland,,,Bader (1945)
25,1670,1670,1600,1,1,Appenzell Ausserrhoden,Switzerland,,,Bader (1945)
26,1680,1680,1600,1,1,Appenzell Ausserrhoden,Switzerland,,,Bader (1945)
27,1690,1690,1600,1,1,Appenzell Ausserrhoden,Switzerland,,,Bader (1945)
28,1590,1590,1500,1,0,Appenzell Innerrhoden,Switzerland,,,Bader (1945)
29,1600,1600,1600,6,4,Appenzell Innerrhoden,Switzerland,,,Bader (1945)
30,1610,1610,1600,6,4,Appenzell Innerrhoden,Switzerland,,,Bader (1945)
31,1620,1620,1600,6,4,Appenzell Innerrhoden,Switzerland,,,Bader (1945)
32,1630,1630,1600,6,4,Appenzell Innerrhoden,Switzerland,,,Bader (1945)
33,1640,1640,1600,6,4,Appenzell Innerrhoden,Switzerland,,,Bader (1945)
34,1650,1650,1600,6,3,Appenzell Innerrhoden,Switzerland,,,Bader (1945)
35,1660,1660,1600,6,3,Appenzell Innerrhoden,Switzerland,,,Bader (1945)
36,1670,1670,1600,6,3,Appenzell Innerrhoden,Switzerland,,,Bader (1945)
37,1680,1680,1600,6,3,Appenzell Innerrhoden,Switzerland,,,Bader (1945)
38,1690,1690,1600,6,3,Appenzell Innerrhoden,Switzerland,,,Bader (1945)
39,1550,1550,1500,2,2,Basel-Landschaft,Switzerland,,,Bader (1945)
40,1560,1560,1500,2,2,Basel-Landschaft,Switzerland,,,Bader (1945)
41,1570,1570,1500,2,2,Basel-Landschaft,Switzerland,,,Bader (1945)
42,1580,1580,1500,2,2,Basel-Landschaft,Switzerland,,,Bader (1945)
43,1590,1590,1500,2,2,Basel-Landschaft,Switzerland,,,Bader (1945)
44,1600,1600,1600,11,8,Basel-Landschaft,Switzerland,,,Bader (1945)
45,1610,1610,1600,11,8,Basel-Landschaft,Switzerland,,,Bader (1945)
46,1620,1620,1600,11,8,Basel-Landschaft,Switzerland,,,Bader (1945)
47,1630,1630,1600,11,8,Basel-Landschaft,Switzerland,,,Bader (1945)
48,1640,1640,1600,11,8,Basel-Landschaft,Switzerland,,,Bader (1945)
49,1650,1650,1600,2,1,Basel-Landschaft,Switzerland,,,Bader (1945)
50,1660,1660,1600,2,1,Basel-Landschaft,Switzerland,,,Bader (1945)
51,1670,1670,1600,2,1,Basel-Landschaft,Switzerland,,,Bader (1945)
52,1680,1680,1600,2,1,Basel-Landschaft,Switzerland,,,Bader (1945)
53,1690,1690,1600,2,1,Basel-Landschaft,Switzerland,,,Bader (1945)
54,1400,1400,1400,2,0,Basel-Stadt,Switzerland,,,Bader (1945)
55,1410,1410,1400,2,0,Basel-Stadt,Switzerland,,,Bader (1945)
56,1420,1420,1400,2,0,Basel-Stadt,Switzerland,,,Bader (1945)
57,1430,1430,1400,2,0,Basel-Stadt,Switzerland,,,Bader (1945)
58,1440,1440,1400,2,0,Basel-Stadt,Switzerland,,,Bader (1945)
59,1450,1450,1400,1,1,Basel-Stadt,Switzerland,,,Bader (1945)
60,1460,1460,1400,1,1,Basel-Stadt,Switzerland,,,Bader (1945)
61,1470,1470,1400,1,1,Basel-Stadt,Switzerland,,,Bader (1945)
62,1480,1480,1400,1,1,Basel-Stadt,Switzerland,,,Bader (1945)
63,1490,1490,1400,1,1,Basel-Stadt,Switzerland,,,Bader (1945)
64,1500,1500,1500,2,1,Basel-Stadt,Switzerland,,,Bader (1945)
65,1510,1510,1500,2,1,Basel-Stadt,Switzerland,,,Bader (1945)
66,1520,1520,1500,2,1,Basel-Stadt,Switzerland,,,Bader (1945)
67,1530,1530,1500,2,1,Basel-Stadt,Switzerland,,,Bader (1945)
68,1540,1540,1500,2,1,Basel-Stadt,Switzerland,,,Bader (1945)
69,1600,1600,1600,1,0,Basel-Stadt,Switzerland,,,Bader (1945)
70,1610,1610,1600,1,0,Basel-Stadt,Switzerland,,,Bader (1945)
71,1620,1620,1600,1,0,Basel-Stadt,Switzerland,,,Bader (1945)
72,1630,1630,1600,1,0,Basel-Stadt,Switzerland,,,Bader (1945)
73,1640,1640,1600,1,0,Basel-Stadt,Switzerland,,,Bader (1945)
74,1650,1650,1600,1,0,Basel-Stadt,Switzerland,,,Bader (1945)
75,1660,1660,1600,1,0,Basel-Stadt,Switzerland,,,Bader (1945)
76,1670,1670,1600,1,0,Basel-Stadt,Switzerland,,,Bader (1945)
77,1680,1680,1600,1,0,Basel-Stadt,Switzerland,,,Bader (1945)
78,1690,1690,1600,1,0,Basel-Stadt,Switzerland,,,Bader (1945)
79,1450,1450,1400,1,1,Bern,Switzerland,,,Bader (1945)
80,1460,1460,1400,1,1,Bern,Switzerland,,,Bader (1945)
81,1470,1470,1400,1,1,Bern,Switzerland,,,Bader (1945)
82,1480,1480,1400,1,1,Bern,Switzerland,,,Bader (1945)
83,1490,1490,1400,1,1,Bern,Switzerland,,,Bader (1945)
84,1500,1500,1500,2,2,Bern,Switzerland,,,Bader (1945)
85,1510,1510,1500,2,2,Bern,Switzerland,,,Bader (1945)
86,1520,1520,1500,2,2,Bern,Switzerland,,,Bader (1945)
87,1530,1530,1500,2,2,Bern,Switzerland,,,Bader (1945)
88,1540,1540,1500,2,2,Bern,Switzerland,,,Bader (1945)
89,1550,1550,1500,5,0,Bern,Switzerland,,,Bader (1945)
90,1560,1560,1500,5,0,Bern,Switzerland,,,Bader (1945)
91,1570,1570,1500,5,0,Bern,Switzerland,,,Bader (1945)
92,1580,1580,1500,5,0,Bern,Switzerland,,,Bader (1945)
93,1590,1590,1500,5,0,Bern,Switzerland,,,Bader (1945)
94,1600,1600,1600,3,0,Bern,Switzerland,,,Bader (1945)
95,1610,1610,1600,3,0,Bern,Switzerland,,,Bader (1945)
96,1620,1620,1600,3,0,Bern,Switzerland,,,Bader (1945)
97,1630,1630,1600,3,0,Bern,Switzerland,,,Bader (1945)
98,1640,1640,1600,3,0,Bern,Switzerland,,,Bader (1945)
99,1650,1650,1600,3,0,Bern,Switzerland,,,Bader (1945)
100,1350,1350,1300,10,0,Fribourg,Switzerland,,,Bader (1945)
101,1360,1360,1300,10,0,Fribourg,Switzerland,,,Bader (1945)
102,1370,1370,1300,10,0,Fribourg,Switzerland,,,Bader (1945)
103,1380,1380,1300,10,0,Fribourg,Switzerland,,,Bader (1945)
104,1390,1390,1300,10,0,Fribourg,Switzerland,,,Bader (1945)
105,1400,1400,1400,17,4,Fribourg,Switzerland,,,Bader (1945)
106,1410,1410,1400,17,4,Fribourg,Switzerland,,,Bader (1945)
107,1420,1420,1400,17,4,Fribourg,Switzerland,,,Bader (1945)
108,1430,1430,1400,17,4,Fribourg,Switzerland,,,Bader (1945)
109,1440,1440,1400,17,4,Fribourg,Switzerland,,,Bader (1945)
110,1450,1450,1400,11,4,Fribourg,Switzerland,,,Bader (1945)
111,1460,1460,1400,11,4,Fribourg,Switzerland,,,Bader (1945)
112,1470,1470,1400,11,4,Fribourg,Switzerland,,,Bader (1945)
113,1480,1480,1400,11,4,Fribourg,Switzerland,,,Bader (1945)
114,1490,1490,1400,11,4,Fribourg,Switzerland,,,Bader (1945)
115,1500,1500,1500,4,4,Fribourg,Switzerland,,,Bader (1945)
116,1510,1510,1500,4,4,Fribourg,Switzerland,,,Bader (1945)
117,1520,1520,1500,4,4,Fribourg,Switzerland,,,Bader (1945)
118,1530,1530,1500,4,4,Fribourg,Switzerland,,,Bader (1945)
119,1540,1540,1500,4,4,Fribourg,Switzerland,,,Bader (1945)
120,1550,1550,1500,4,4,Fribourg,Switzerland,,,Bader (1945)
121,1560,1560,1500,4,4,Fribourg,Switzerland,,,Bader (1945)
122,1570,1570,1500,4,4,Fribourg,Switzerland,,,Bader (1945)
123,1580,1580,1500,4,4,Fribourg,Switzerland,,,Bader (1945)
124,1590,1590,1500,4,4,Fribourg,Switzerland,,,Bader (1945)
125,1600,1600,1600,100,25,Fribourg,Switzerland,,,Bader (1945)
126,1610,1610,1600,100,25,Fribourg,Switzerland,,,Bader (1945)
127,1620,1620,1600,100,25,Fribourg,Switzerland,,,Bader (1945)
128,1630,1630,1600,100,25,Fribourg,Switzerland,,,Bader (1945)
129,1640,1640,1600,100,25,Fribourg,Switzerland,,,Bader (1945)
130,1650,1650,1600,100,25,Fribourg,Switzerland,,,Bader (1945)
131,1660,1660,1600,100,25,Fribourg,Switzerland,,,Bader (1945)
132,1670,1670,1600,100,25,Fribourg,Switzerland,,,Bader (1945)
133,1680,1680,1600,100,25,Fribourg,Switzerland,,,Bader (1945)
134,1690,1690,1600,100,25,Fribourg,Switzerland,,,Bader (1945)
135,1500,1500,1500,14,8,Geneve,Switzerland,,,Bader (1945)
136,1510,1510,1500,14,8,Geneve,Switzerland,,,Bader (1945)
137,1520,1520,1500,14,8,Geneve,Switzerland,,,Bader (1945)
138,1530,1530,1500,14,8,Geneve,Switzerland,,,Bader (1945)
139,1540,1540,1500,14,8,Geneve,Switzerland,,,Bader (1945)
140,1550,1550,1500,6,3,Geneve,Switzerland,,,Bader (1945)
141,1560,1560,1500,6,3,Geneve,Switzerland,,,Bader (1945)
142,1570,1570,1500,6,3,Geneve,Switzerland,,,Bader (1945)
143,1580,1580,1500,6,3,Geneve,Switzerland,,,Bader (1945)
144,1590,1590,1500,6,3,Geneve,Switzerland,,,Bader (1945)
145,1600,1600,1600,15,3,Geneve,Switzerland,,,Bader (1945)
146,1610,1610,1600,15,3,Geneve,Switzerland,,,Bader (1945)
147,1620,1620,1600,15,3,Geneve,Switzerland,,,Bader (1945)
148,1630,1630,1600,15,3,Geneve,Switzerland,,,Bader (1945)
149,1640,1640,1600,15,3,Geneve,Switzerland,,,Bader (1945)
150,1652,1650,1600,1,1,Geneve,Switzerland,,,Bader (1945)
151,1782,1780,1700,1,1,Glarus,Switzerland,,,Bader (1945)
152,1600,1600,1600,17,12,Graubunden,Switzerland,,,Bader (1945)
153,1610,1610,1600,17,12,Graubunden,Switzerland,,,Bader (1945)
154,1620,1620,1600,17,12,Graubunden,Switzerland,,,Bader (1945)
155,1630,1630,1600,17,12,Graubunden,Switzerland,,,Bader (1945)
156,1640,1640,1600,17,12,Graubunden,Switzerland,,,Bader (1945)
157,1650,1650,1600,26,12,Graubunden,Switzerland,,,Bader (1945)
158,1650,1650,1600,28,4,Graubunden,Switzerland,,,Bader (1945)
159,1650,1650,1600,28,12,Graubunden,Switzerland,,,Bader (1945)
160,1650,1650,1600,5,3,Graubunden,Switzerland,,,Bader (1945)
161,1660,1660,1600,26,12,Graubunden,Switzerland,,,Bader (1945)
162,1660,1660,1600,28,12,Graubunden,Switzerland,,,Bader (1945)
163,1660,1660,1600,5,3,Graubunden,Switzerland,,,Bader (1945)
164,1670,1670,1600,124,60,Graubunden,Switzerland,,,Bader (1945)
165,1670,1670,1600,28,12,Graubunden,Switzerland,,,Bader (1945)
166,1670,1670,1600,5,3,Graubunden,Switzerland,,,Bader (1945)
167,1680,1680,1600,28,12,Graubunden,Switzerland,,,Bader (1945)
168,1680,1680,1600,5,3,Graubunden,Switzerland,,,Bader (1945)
169,1690,1690,1600,34,6,Graubunden,Switzerland,,,Bader (1945)
170,1690,1690,1600,6,3,Graubunden,Switzerland,,,Bader (1945)
171,1690,1690,1600,28,12,Graubunden,Switzerland,,,Bader (1945)
172,1690,1690,1600,5,3,Graubunden,Switzerland,,,Bader (1945)
173,1700,1700,1700,34,6,Graubunden,Switzerland,,,Bader (1945)
174,1700,1700,1700,15,11,Graubunden,Switzerland,,,Bader (1945)
175,1400,1400,1400,2,0,Lucerne,Switzerland,,,Bader (1945)
176,1410,1410,1400,2,0,Lucerne,Switzerland,,,Bader (1945)
177,1420,1420,1400,2,0,Lucerne,Switzerland,,,Bader (1945)
178,1423,1420,1400,1,1,Lucerne,Switzerland,,,Bader (1945)
179,1430,1430,1400,2,0,Lucerne,Switzerland,,,Bader (1945)
180,1440,1440,1400,2,0,Lucerne,Switzerland,,,Bader (1945)
181,1450,1450,1400,21,1,Lucerne,Switzerland,,,Bader (1945)
182,1460,1460,1400,21,1,Lucerne,Switzerland,,,Bader (1945)
183,1470,1470,1400,21,1,Lucerne,Switzerland,,,Bader (1945)
184,1480,1480,1400,21,1,Lucerne,Switzerland,,,Bader (1945)
185,1490,1490,1400,21,1,Lucerne,Switzerland,,,Bader (1945)
186,1500,1500,1500,5,2,Lucerne,Switzerland,,,Bader (1945)
187,1500,1500,1500,1,0,Lucerne,Switzerland,,,Bader (1945)
188,1510,1510,1500,5,2,Lucerne,Switzerland,,,Bader (1945)
189,1510,1510,1500,1,0,Lucerne,Switzerland,,,Bader (1945)
190,1520,1520,1500,5,2,Lucerne,Switzerland,,,Bader (1945)
191,1520,1520,1500,1,0,Lucerne,Switzerland,,,Bader (1945)
192,1530,1530,1500,5,2,Lucerne,Switzerland,,,Bader (1945)
193,1530,1530,1500,1,0,Lucerne,Switzerland,,,Bader (1945)
194,1540,1540,1500,5,2,Lucerne,Switzerland,,,Bader (1945)
195,1540,1540,1500,1,0,Lucerne,Switzerland,,,Bader (1945)
196,1550,1550,1500,100,14,Lucerne,Switzerland,,,Bader (1945)
197,1550,1550,1500,1,0,Lucerne,Switzerland,,,Bader (1945)
198,1560,1560,1500,100,14,Lucerne,Switzerland,,,Bader (1945)
199,1560,1560,1500,3,3,Lucerne,Switzerland,,,Bader (1945)
200,1560,1560,1500,1,0,Lucerne,Switzerland,,,Bader (1945)
201,1570,1570,1500,100,14,Lucerne,Switzerland,,,Bader (1945)
202,1570,1570,1500,3,3,Lucerne,Switzerland,,,Bader (1945)
203,1570,1570,1500,1,0,Lucerne,Switzerland,,,Bader (1945)
204,1580,1580,1500,100,14,Lucerne,Switzerland,,,Bader (1945)
205,1580,1580,1500,3,3,Lucerne,Switzerland,,,Bader (1945)
206,1580,1580,1500,1,0,Lucerne,Switzerland,,,Bader (1945)
207,1590,1590,1500,100,14,Lucerne,Switzerland,,,Bader (1945)
208,1590,1590,1500,3,3,Lucerne,Switzerland,,,Bader (1945)
209,1590,1590,1500,1,0,Lucerne,Switzerland,,,Bader (1945)
210,1600,1600,1600,3,3,Lucerne,Switzerland,,,Bader (1945)
211,1610,1610,1600,3,3,Lucerne,Switzerland,,,Bader (1945)
212,1620,1620,1600,3,3,Lucerne,Switzerland,,,Bader (1945)
213,1630,1630,1600,3,3,Lucerne,Switzerland,,,Bader (1945)
214,1640,1640,1600,3,3,Lucerne,Switzerland,,,Bader (1945)
215,1650,1650,1600,8,8,Lucerne,Switzerland,,,Bader (1945)
216,1650,1650,1600,3,3,Lucerne,Switzerland,,,Bader (1945)
217,1660,1660,1600,8,8,Lucerne,Switzerland,,,Bader (1945)
218,1660,1660,1600,3,3,Lucerne,Switzerland,,,Bader (1945)
219,1670,1670,1600,8,8,Lucerne,Switzerland,,,Bader (1945)
220,1680,1680,1600,8,8,Lucerne,Switzerland,,,Bader (1945)
221,1690,1690,1600,8,8,Lucerne,Switzerland,,,Bader (1945)
222,1737,1730,1700,1,0,Lucerne,Switzerland,,,Bader (1945)
